subj,obj
_,_
bölüm,_
kuş,_
_,diz
_,_
bektaş,_
hâl,çehre
ekonomi,_
kaygı,iç
_,_
oyuncu,_
bina,_
_,pösteki
hüzün,iç
kırmızılık,baş
iş,_
babil,_
görüşme,_
_,_
plan,_
ihtiyar,kız
babil,_
piyasa,_
oyuncu,yer
ben,taş
finansman,_
hisse,_
bölüm,_
sessizlik,_
imitasyon,_
görüşme,_
kadın,toprak
hüzün,iç
baygınlık,iç
karanlık,_
ev,zemin
bina,_
duman,_
karanlık,_
yalı,_
_,_
bina,_
otel,_
hâl,çehre
hasta,_
köşk,_
duman,_
apartman,_
ev,_
cesaret,_
_,yer
tribün,_
ayna,_
_,direksiyon
oğlan,pot
bisikletçi,rekor
bu,omuz
_,_
kaburga,_
_,çeşme
anne,arkadaş
_,fiyat
sen,yay
_,Ayşe
koku,direk
sen,_
dal,_
düşüş,seri
teyze,yumurta
_,Ayşe
_,pot
_,kalp
ihlal,güven
anne,arkadaş
_,pul
dinlendirme,doku
rekor,_
sandalye,_
zincir,_
tribün,_
aslan,kemik
biz,bacak
yağmur,sıcak
sait,ıstakoz
bay,kol
bıçak,_
postel,başparmak
kaburga,_
söz,umut
baston,_
kalp,_
_,koz
bıçak,_
dal,_
deniz,_
_,rekor
_,jilet
_,yumurta